City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,gandajika,-6.75,23.95,19.04,98,98,0.13,CD,1712636178
273,conception bay south,47.4999,-52.9981,-0.81,94,100,9.58,CA,1712636470
274,raja,8.4596,25.678,23.7,52,71,1.31,SS,1712636470
275,berezovyy,51.6667,135.7,6.15,40,76,1.19,RU,1712636470
276,kerman,30.2832,57.0788,15.92,48,0,0.0,IR,1712636442
277,shingu,33.7333,135.9833,16.14,58,70,4.36,JP,1712636471
278,tofol,5.3248,163.0078,27.69,82,100,7.19,FM,1712636471
279,emerald,-23.5333,148.1667,31.86,32,21,6.18,AU,1712636235
280,tuensang,26.2833,94.8333,25.94,34,100,1.62,IN,1712636471
281,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,82,75,1.0,RU,1712636472
282,gomez farias,23.05,-99.15,22.52,83,75,1.14,MX,1712636472
283,ambalangoda,6.2355,80.0538,28.65,68,73,1.89,LK,1712636472
284,sao vicente,-23.9631,-46.3919,25.15,26,72,0.45,BR,1712636318
285,amlapura,-8.45,115.6167,28.29,71,100,1.78,ID,1712636473
286,slavyanka,42.8633,131.3847,6.29,29,0,2.34,RU,1712636473
287,souillac,-20.5167,57.5167,26.3,84,57,2.53,MU,1712636407
288,port lincoln,-34.7333,135.8667,16.58,50,73,6.25,AU,1712636473
289,westwood,42.214,-71.2245,12.4,54,0,4.92,US,1712636424
290,sinabang,2.4803,96.3801,29.39,75,100,0.86,ID,1712636474
291,santo domingo,18.5001,-69.9886,23.91,92,100,1.34,DO,1712635857
292,la ronge,55.1001,-105.2842,6.14,65,100,0.0,CA,1712636474
293,kapa'a,22.0752,-159.319,26.99,86,75,10.29,US,1712636316
294,el abiodh sidi cheikh,32.893,0.5484,14.96,45,99,11.02,DZ,1712636475
295,rocha,-34.4833,-54.3333,17.43,98,42,1.53,UY,1712636324
296,boguchany,58.3814,97.4531,0.48,72,100,4.47,RU,1712636476
297,zeya,53.75,127.2667,3.05,39,50,1.3,RU,1712636476
298,gamba,-2.65,10.0,25.11,92,100,0.91,GA,1712636477
299,konkwesso,10.8469,4.0984,29.67,51,78,2.69,NG,1712636477
300,polyarnyy,69.1989,33.4478,-3.72,94,100,3.77,RU,1712636477
301,cadale,2.7603,46.3222,29.01,73,99,3.45,SO,1712636478
302,ola,59.5833,151.2833,-2.7,88,99,1.24,RU,1712636478
303,noosa heads,-26.3833,153.15,27.84,54,100,2.96,AU,1712636403
304,minas de marcona,-15.2119,-75.1103,17.51,86,90,4.59,PE,1712636478
305,sahar,24.3643,56.7468,29.25,44,15,2.68,OM,1712636479
306,jiwani,25.05,61.7417,26.06,74,97,2.84,PK,1712636479
307,la passe,45.5549,-0.8967,10.55,74,7,8.43,FR,1712636479
308,hammerfest,70.6634,23.6821,-1.75,100,75,1.03,NO,1712636480
309,sorel-tracy,46.0334,-73.1159,11.23,69,100,3.19,CA,1712636480
310,broken hill,-31.95,141.4333,17.77,29,0,9.43,AU,1712636412
311,bratsk,56.1325,101.6142,1.27,57,17,4.0,RU,1712636226
312,westport,41.1415,-73.3579,13.85,61,100,2.57,US,1712636330
313,sarkisla,39.3519,36.4098,7.48,82,48,3.36,TR,1712636481
314,susuman,62.7833,148.1667,-6.68,74,99,1.79,RU,1712636481
315,novodvinsk,64.4165,40.8122,-2.14,93,100,2.11,RU,1712636422
316,sabang,5.8933,95.3214,29.27,74,100,5.32,ID,1712636482
317,nogliki,51.8333,143.1667,-3.14,94,100,3.13,RU,1712636482
318,tarauaca,-8.1614,-70.7656,23.2,98,93,0.52,BR,1712636468
319,miles city,46.4083,-105.8406,4.54,81,0,4.63,US,1712636483
320,palmer,42.1584,-72.3287,10.37,66,75,0.0,US,1712636373
321,bikenibeu village,1.3673,173.1241,30.98,79,75,3.6,KI,1712636483
322,sandnessjoen,66.0217,12.6316,8.06,66,40,4.12,NO,1712636483
323,mil'kovo,55.6078,37.7956,11.33,91,100,1.81,RU,1712636484
324,pyay,18.8167,95.2167,39.0,30,0,1.31,MM,1712636243
325,darwin,-12.4611,130.8418,33.92,43,0,2.06,AU,1712636484
326,bel ombre,-4.6167,55.4167,25.91,89,40,1.03,SC,1712636484
327,la punta,-33.1837,-66.3127,16.92,60,2,0.89,AR,1712636484
328,vordingborg,55.008,11.9106,8.9,98,100,4.74,DK,1712636485
329,isangel,-19.55,169.2667,30.06,70,40,3.09,VU,1712636485
330,cerritos,33.8583,-118.0648,19.32,59,0,2.57,US,1712636327
331,la mira,18.035,-102.3266,21.66,83,100,1.7,MX,1712636485
332,bac lieu,9.285,105.7244,33.13,51,94,7.2,VN,1712636486
333,vilyuysk,63.7553,121.6247,-7.22,81,24,1.34,RU,1712636486
334,angol,-37.8,-72.7167,10.04,93,100,2.57,CL,1712636458
335,limbazi,57.5129,24.7194,10.57,93,89,2.12,LV,1712636486
336,bizhbulyak,53.6967,54.2642,6.64,91,95,5.15,RU,1712636487
337,chicoana,-25.1009,-65.5331,19.03,86,90,0.72,AR,1712636487
338,kangding,30.0513,101.9603,11.93,80,87,0.63,CN,1712636487
339,umea,63.8284,20.2597,-1.72,93,0,1.54,SE,1712636218
340,rusape,-18.5278,32.1284,15.19,96,38,1.83,ZW,1712636487
341,padang,-0.9492,100.3543,32.03,72,95,2.56,ID,1712636488
342,qalat,32.1058,66.9083,19.25,19,48,0.64,AF,1712636488
343,sungai penuh,-2.0833,101.3833,24.69,81,91,1.98,ID,1712636488
344,santanyi,39.3546,3.1291,17.66,68,100,4.39,ES,1712636488
345,arar,30.9753,41.0381,16.01,29,0,1.54,SA,1712636488
346,manavalakurichi,8.1333,77.3,31.97,57,84,3.27,IN,1712636489
347,muynoq,43.7683,59.0214,12.86,53,33,3.39,UZ,1712636489
348,port arthur,38.8,121.2667,14.12,40,67,1.73,CN,1712636489
349,ghadamis,30.1337,9.5007,22.22,8,100,4.03,LY,1712636489
350,hithadhoo,-0.6,73.0833,29.09,72,100,1.93,MV,1712636490
351,tumpat,6.1978,102.171,32.99,58,40,3.6,MY,1712636490
352,oranjemund,-28.55,16.4333,13.93,90,1,2.42,NA,1712636490
353,horta,38.5333,-28.6333,16.68,96,89,6.71,PT,1712636490
354,taoudenni,22.6783,-3.9836,27.12,19,30,2.91,ML,1712636490
355,faya-largeau,17.9257,19.1043,23.48,7,86,8.48,TD,1712636491
356,dailekh,28.8333,81.6667,27.77,10,0,2.56,NP,1712636491
357,letterkenny,54.95,-7.7333,5.33,89,100,5.38,IE,1712636491
358,singapur,1.2897,103.8501,33.97,55,75,2.57,SG,1712636275
359,miyaly,48.8844,53.7836,12.93,57,36,4.95,KZ,1712636492
360,fisterra,42.9049,-9.2629,11.53,60,11,5.94,ES,1712636492
